Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score,cluster_id,Planet_Type_ML
4439,Kepler-1961 b,Kepler-1961,Transit,2021,1.6187808,2.6972883216480805,5.604710102,0.0589722916433071,,945.3532887434512,0.871,0.777,5401.0,-0.3363714033061099,,1042.45,0.6358625362893395,132.5356118698759,Too Hot (Hot Zone),0.210725533941618,Extreme Environment,14.439244775836722,Atmosphere Risk (Erosion),0.0,Not Habitable,2.1072553394161804,1.0,Rocky / Super-Earth
4440,TOI-558 b,TOI-558,Transit,2021,12.17295304,1147.36054927,14.574071,0.1291,0.298,1061.0,1.349,1.496,6466.0,0.54654,F V,402.63,0.6360804873276492,211.1968884454108,Too Hot (Hot Zone),0.1312348468228746,Extreme Environment,108.59924305826114,Atmosphere Likely,0.0,Not Habitable,1.3123484682287467,0.0,Gas Giant (Jovian)
4441,Kepler-331 c,Kepler-331,Transit,2014,1.84,3.5117590912658474,17.28111,0.105,,453.7441063549609,,0.492,4347.0,-1.1104213837346435,,580.119,0.5637301286371832,7.03396200572811,Too Hot (Hot Zone),0.5201278790920594,Extreme Environment,15.453549983709047,Atmosphere Likely,0.0,Not Habitable,5.201278790920593,1.0,Rocky / Super-Earth
4443,Kepler-101 c,Kepler-101,Transit,2014,1.25,3.78,6.02976,0.0684,0.0,1413.0,1.17,1.56,5667.0,0.3525518972421948,G3 IV,927.981,1.93536,481.3264123003574,Too Hot (Hot Zone),0.113795466119501,Extreme Environment,19.45206483394501,Atmosphere Risk (Erosion),0.0,Not Habitable,1.1379546611950104,1.0,Rocky / Super-Earth
4444,TIC 46432937 b,TIC 46432937,Transit,2024,13.31626907,1017.0509024,1.44044527,0.02065,0.009,872.0,0.563,0.5299,3572.0,-1.3851,,90.5369,0.4307199656305407,96.61841039357763,Too Hot (Hot Zone),0.1561340944298795,Extreme Environment,97.75857868967915,Atmosphere Likely,0.0,Not Habitable,1.5613409442987958,0.0,Gas Giant (Jovian)
4445,TOI-4377 b,TOI-4377,Transit,2023,15.10970598,304.1617855,4.378081,0.0579,0.045,1870.127798503288,1.36,3.52,4974.0,0.82217,,455.82,0.0881732012018425,1980.6734155202523,Too Hot (Hot Zone),0.0301277349754131,Extreme Environment,50.1879125658992,Atmosphere Likely,0.0,Not Habitable,0.301277349754132,0.0,Gas Giant (Jovian)
4446,Kepler-176 b,Kepler-176,Transit,2014,1.43,2.0892587859426106,5.433074,0.058,,988.840044723946,,0.891,5232.0,-0.2726838006941194,,527.321,0.7144702088267386,158.65735586084688,Too Hot (Hot Zone),0.2054397459988705,Extreme Environment,13.520816379128368,Atmosphere Risk (Erosion),0.0,Not Habitable,2.0543974599887047,1.0,Rocky / Super-Earth
4447,Kepler-1050 b,Kepler-1050,Transit,2016,1.6,2.633220116762752,15.3787546,0.124555466943879,,872.9025288594535,1.09,1.13,6010.0,0.1745446249450849,,490.488,0.6428760050690311,96.34274954405316,Too Hot (Hot Zone),0.2367282960706437,Extreme Environment,14.350214931518572,Atmosphere Risk (Erosion),0.0,Not Habitable,2.367282960706437,1.0,Rocky / Super-Earth
4449,Kepler-1718 b,Kepler-1718,Transit,2021,2.5685207,6.981473990795533,135.1880035,0.4875532706250386,,376.718480109098,0.846,0.906,5731.0,-0.0999321208480883,,375.522,0.412000662235186,3.3421330173381434,Too Hot (Hot Zone),0.5663380085701367,Complex Life Possible,18.44195008163436,Atmosphere Likely,0.0,Not Habitable,5.663380085701367,1.0,Rocky / Super-Earth
4450,Kepler-809 b,Kepler-809,Transit,2016,3.01,9.679367538742936,55.63934,0.2842755847854612,,513.3746274324918,0.99,0.98,5734.0,-0.0308272442058601,,961.405,0.3549339106450109,11.526398561474902,Too Hot (Hot Zone),0.3764602028360994,Extreme Environment,20.059266932907803,Atmosphere Likely,0.0,Not Habitable,3.7646020283609944,1.0,Rocky / Super-Earth
