,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist
172,TRAPPIST-1 b,TRAPPIST-1,Transit,2016,1.116,1.374,1.510826,0.01154,,,0.0898,0.1192,2566.0,-3.25727,,
173,TRAPPIST-1 c,TRAPPIST-1,Transit,2016,1.097,1.308,2.421937,0.0158,,,0.0898,0.1192,2566.0,-3.25727,,
174,TRAPPIST-1 d,TRAPPIST-1,Transit,2016,0.788,0.388,4.049219,0.02227,,,0.0898,0.1192,2566.0,-3.25727,,
175,TRAPPIST-1 e,TRAPPIST-1,Transit,2017,0.92,0.692,6.101013,0.02925,,,0.0898,0.1192,2566.0,-3.25727,,
176,TRAPPIST-1 f,TRAPPIST-1,Transit,2017,1.045,1.039,9.20754,0.03849,,,0.0898,0.1192,2566.0,-3.25727,,
177,TRAPPIST-1 g,TRAPPIST-1,Transit,2017,1.129,1.321,12.352446,0.04683,,,0.0898,0.1192,2566.0,-3.25727,,
178,TRAPPIST-1 h,TRAPPIST-1,Transit,2017,0.755,0.326,18.772866,0.06189,,,0.0898,0.1192,2566.0,-3.25727,,
179,WASP-19 b,WASP-19,Transit,2009,15.86070769,366.77398168,0.78883852,0.01652,0.0126,2113.0,0.965,1.006,5616.0,-0.04335,,268.325
180,KOI-984 c,KOI-984,Transit Timing Variations,2022,,209.8,21.512,0.1467,0.38,597.0,0.928,0.818,5295.0,,,252.667
181,Kepler-464 b,Kepler-464,Transit,2016,3.3,,7.256965224,,,,1.21,1.59,5933.0,,,667.604
182,Kepler-342 e,Kepler-342,Transit,2016,0.88,,1.644224613,,,,1.26,1.34,6366.0,,,781.611
183,Kepler-520 b,Kepler-520,Transit,2016,1.66,,19.67416124,,,,1.1,1.09,6112.0,,,623.901
184,TOI-3135 b,TOI-3135,Transit,2025,13.65253849,327.36325921,3.7065585,0.04756,0.24,1292.0,1.044,0.985,5890.0,0.02119,,221.673
185,Kepler-374 d,Kepler-374,Transit,2014,1.31,,5.028219,0.056,,,,0.911,5977.0,,,1265.61
186,Kepler-1292 b,Kepler-1292,Transit,2016,1.82,,3.27646405,,,,0.95,0.93,5556.0,,,1493.43
187,GJ 3138 c,GJ 3138,Radial Velocity,2017,,4.18,5.974,0.057,0.11,,0.681,0.5,3717.0,-1.34679,M0,28.4712
188,KMT-2022-BLG-0303L b,KMT-2022-BLG-0303L,Microlensing,2024,,163.04597279,,4.81,,,0.368,,,,,6570.0
189,Kepler-223 d,Kepler-223,Transit,2014,5.24,8.0,14.78869,,0.037,,1.125,1.72,,,,1859.71
190,Kepler-1366 b,Kepler-1366,Transit,2016,1.43,,2.164570968,,,,0.62,0.6,4070.0,,,465.826
191,HIP 948 b,HIP 948,Radial Velocity,2022,,6547.2651842,24955.45756,15.037,0.23,,0.71,,,,,34.8523
