Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score
609,Kepler-1107 b,Kepler-1107,Transit,2016,1.34,1.827409526591839,0.571038518,0.012810013959523258,,2032.4101072309056,0.86,0.82,5268.0,-0.3328993801062945,,428.798,0.7594890023838698,2831.401213581538,Too Hot (Hot Zone),0.06897825938690669,Extreme Environment,13.062922736440537,Atmosphere Risk (Erosion),0.0,Not Habitable,0.6897825938690669
611,HAT-P-30 b,HAT-P-30,Transit,2011,16.14096,263.7989,2.8106,0.04510760592131552,0.04,1638.1754700151178,1.55,1.31,6304.0,0.3858972592048116,,213.985,0.06273138794431708,1195.0819966397594,Too Hot (Hot Zone),0.0328568928662778,Extreme Environment,45.22167292045191,Atmosphere Likely,0.0,Not Habitable,0.328568928662778
613,Kepler-1769 b,Kepler-1769,Transit,2021,4.465,21.80882232021737,89.1934967,0.3984744118853624,,527.7501348468396,1.061,1.295,6071.0,0.3104703182936244,,438.412,0.24500098170928744,12.87269388145688,Too Hot (Hot Zone),0.3101009606149584,Extreme Environment,24.72180579778028,Atmosphere Likely,0.0,Not Habitable,3.101009606149584
615,K2-38 b,K2-38,Transit,2016,1.54,7.3,4.01593,0.04994,0.197,1266.0,1.03,1.06,5731.0,0.03743,G2 V,192.69,1.9987602210574043,437.0518108178464,Too Hot (Hot Zone),0.1305636760851606,Extreme Environment,24.35431307704131,Atmosphere Risk (Erosion),0.0,Not Habitable,1.305636760851606
616,Kepler-1480 b,Kepler-1480,Transit,2016,1.67,2.8760466795391113,22.12679948,0.14611402091326173,,585.3868024153165,0.85,0.81,5156.0,-0.3808884775499513,,500.892,0.6175135861603435,19.48622612300003,Too Hot (Hot Zone),0.3963774274014204,Extreme Environment,14.679610914989135,Atmosphere Likely,0.0,Not Habitable,3.963774274014204
617,WASP-116 b,WASP-116,Transit,2025,13.67495645,203.41018048,6.6132,0.065,0.0,1414.0,1.25,1.426,6250.0,0.44464897037528167,,559.243,0.07954169279705961,658.9041715450153,Too Hot (Hot Zone),0.04610392957403989,Extreme Environment,43.14179209662075,Atmosphere Likely,0.0,Not Habitable,0.46103929574039887
618,Kepler-60 c,Kepler-60,Transit,2012,1.9,3.85,8.9187,0.08530172176790068,,1093.0552063824716,1.041,1.257,5905.0,0.23644001313733737,,1025.1,0.5613063128735968,236.8778314957216,Too Hot (Hot Zone),0.16286881744736517,Extreme Environment,15.923127744193184,Atmosphere Risk (Erosion),0.0,Not Habitable,1.6286881744736517
619,Kepler-204 c,Kepler-204,Transit,2014,1.79,3.3180065866620194,25.660593,0.173,,749.7152266693312,,1.238,5812.0,0.19563356183942132,,686.723,0.5785196980792275,52.4253520540094,Too Hot (Hot Zone),0.28112294331710025,Extreme Environment,15.229544751861008,Atmosphere Risk (Erosion),0.0,Not Habitable,2.8112294331710026
621,Kepler-1849 b,Kepler-1849,Transit,2021,2.38685349,6.002346597657535,57.29290009,0.25935172015078634,,388.54061141423705,0.709,0.729,4806.0,-0.5945200275252382,,631.884,0.44141164252704057,3.781827424542892,Too Hot (Hot Zone),0.5631630921447084,Microbial Life Only,17.738727770431964,Atmosphere Likely,0.0,Not Habitable,5.631630921447083
624,TOI-1768.01,TOI-1768,Transit,2024,3.453,12.84354617417765,7.337703649,0.076381,,1096.866736320339,1.1,1.1,5994.0,0.14654217472224138,,157.597,0.31195734561117844,240.19916579652255,Too Hot (Hot Zone),0.12888091675886648,Extreme Environment,21.57342014618553,Atmosphere Risk (Erosion),0.0,Not Habitable,1.2888091675886648
626,HD 42813 b,HD 42813,Transit,2023,3.41,9.1,13.6308205,0.111,,716.0,0.901,0.98,5289.0,-0.17116373057178508,,68.192,0.22949765661455998,54.72557228720832,Too Hot (Hot Zone),0.21542141545189386,Extreme Environment,18.27335627198286,Atmosphere Likely,0.0,Not Habitable,2.1542141545189386
627,Kepler-331 b,Kepler-331,Transit,2014,1.82,3.4335791196156418,8.457496,0.065,,576.6986944996696,,0.492,4347.0,-1.1104213837346437,,580.119,0.56955136271427,18.354894938024238,Too Hot (Hot Zone),0.3924760363375407,Extreme Environment,15.364295475495837,Atmosphere Likely,0.0,Not Habitable,3.924760363375407
628,TOI-2580 b,TOI-2580,Transit,2024,17.37392009,200.23189641,3.39775,0.048,0.08,2410.0,1.33,1.81,6120.0,0.61595,F,379.253,0.03818034088497673,1792.5345090123133,Too Hot (Hot Zone),0.014635180475052119,Extreme Environment,37.974541195035215,Atmosphere Risk (Erosion),0.0,Not Habitable,0.14635180475052117
